Type,Results
MLP,"[np.float64(-4.248686960727402), np.float64(-3.8185276064191465), np.float64(-3.8948447427377273), np.float64(-3.8977519060034527), np.float64(-3.704262692238335), np.float64(-3.6300935802366636)]"
MLP,"[np.float64(-4.410354839962472), np.float64(-4.17593828539452), np.float64(-3.8269884654224198), np.float64(-3.70989497088752), np.float64(-3.7028870178272517), np.float64(-3.632173855540284)]"
MLP,"[np.float64(-4.129322128568998), np.float64(-4.065101275764607), np.float64(-3.882647213206192), np.float64(-3.836263055308275), np.float64(-3.7326605193642983), np.float64(-3.6416301522256527)]"
MLP,"[np.float64(-4.3968965894516465), np.float64(-4.205870248646158), np.float64(-3.7512883229244975), np.float64(-3.7293194522768984), np.float64(-3.6883238902259974), np.float64(-3.6506008718520584)]"
MLP,"[np.float64(-4.171717682239067), np.float64(-4.100606639975149), np.float64(-3.7479254216246494), np.float64(-3.799442496392493), np.float64(-3.7171967908535075), np.float64(-3.633585206564252)]"
MLP,"[np.float64(-4.205255771727257), np.float64(-4.166984832391269), np.float64(-3.8698527201760493), np.float64(-3.730015542370097), np.float64(-3.6875922268058003), np.float64(-3.6353486780974857)]"
MLP,"[np.float64(-4.183929335517508), np.float64(-4.034015264846834), np.float64(-4.207698974489496), np.float64(-3.954230089397574), np.float64(-3.8198878831866185), np.float64(-3.659394151449284)]"
MLP,"[np.float64(-4.20125681426605), np.float64(-4.16674783873459), np.float64(-4.1106414063469705), np.float64(-3.8068211078517233), np.float64(-3.690605925150524), np.float64(-3.6372361928210863)]"
MLP,"[np.float64(-4.183676008691994), np.float64(-4.114374706062596), np.float64(-3.806608354695214), np.float64(-3.6740189172633766), np.float64(-3.688414309569119), np.float64(-3.6324111102365535)]"
MLP,"[np.float64(-4.205368283950755), np.float64(-4.117991318425547), np.float64(-3.8921093432465743), np.float64(-3.7908694070441316), np.float64(-3.656423036293601), np.float64(-3.618897560105388)]"
MLP,"[np.float64(-4.20877374916518), np.float64(-4.173819333397688), np.float64(-3.818856184692403), np.float64(-3.766462278987518), np.float64(-3.7808000128085033), np.float64(-3.6599776741679086)]"
MLP,"[np.float64(-4.104192277019028), np.float64(-4.204032640471568), np.float64(-3.8137841526836644), np.float64(-3.728571302974399), np.float64(-3.697033260484888), np.float64(-3.633206842363163)]"
MLP,"[np.float64(-4.159857950631925), np.float64(-4.2364104076420945), np.float64(-4.107288375896196), np.float64(-3.84040915263083), np.float64(-3.7154090340470756), np.float64(-3.6342332702881777)]"
